images_name,sentiment category,sentiment degree,intention detection,offensiveness detection,metaphor occurrence,metaphor category,source domain,target domain,target modality,source modality
Image_(1145).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,太合理,泰河里,text,complementary
Image_(1146).jpg,1(happiness),1(slightly),2(expressive),0(non-offensive),1,text dominant,不太,补胎,text,complementary
Image_(1147).jpg,3(anger),1(slightly),2(expressive),1(slightly),1,text dominant,妈;邪门,马;斜门,text,complementary
Image_(1148).jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,妈;傻逼,马;洒啤,text,complementary
Image_(1149).jpg,6(hate),1(slightly),4(offensive),1(slightly),1,text dominant,妈,马,text,complementary
Image_(115).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1150).jpg,3(anger),2(moderately),4(offensive),3(very),1,text dominant,妈,马,text,complementary
Image_(1151).jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,妈,马,text,complementary
Image_(1152).jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,妈,马,text,complementary
Image_(1153).jpg,3(anger),2(moderately),4(offensive),2(moderately),1,text dominant,妈;离谱,马;梨谱,text,complementary
Image_(1154).jpg,3(anger),1(slightly),4(offensive),3(very),1,text dominant,妈,马,text,complementary
Image_(1155).jpg,6(hate),1(slightly),3(entertaining),2(moderately),1,text dominant,妈;无语,马;无雨,text,complementary
Image_(1156).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,无精打采,吴京打采,text,complementary
Image_(1157).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,text dominant,知道,吱道,text,complementary
Image_(1158).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,image dominant,o,嘴,image,image
Image_(1159).jpg,1(happiness),1(slightly),4(offensive),2(moderately),1,text dominant,你他妈的,ntmd,text,text
Image_(116).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,complementary,用避孕套,吹气球,image,text
Image_(1160).jpg,7(surprise),1(slightly),4(offensive),1(slightly),1,text dominant,毛病,猫饼,text,complementary
Image_(1161).jpg,2(love),1(slightly),1(interactive),0(non-offensive),1,text dominant,谢,蟹,text,complementary
Image_(1162).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1163).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,狗,你,complementary,complementary
Image_(1164).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,狗,你,complementary,complementary
Image_(1165).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,狗,你,complementary,complementary
Image_(1166).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,蚊子,长号,text,image
Image_(1167).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,哭,枯,text,complementary
Image_(1168).jpg,2(love),2(moderately),1(interactive),0(non-offensive),1,text dominant,棒,蚌,text,complementary
Image_(1169).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,谢,蟹,text,complementary
Image_(117).jpg,3(anger),3(very),4(offensive),3(very),1,text dominant,妈逼,麻痹,text,text
Image_(1170).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,垃圾,辣鸡,text,complementary
Image_(1171).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),1,complementary,算,蒜,text,complementary
Image_(1172).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,难,南,text,complementary
Image_(1173).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,complementary,牛逼,牛啤,text,complementary
Image_(1174).jpg,1(happiness),2(moderately),1(interactive),1(slightly),1,text dominant,疯,风,text,complementary
Image_(1175).jpg,4(sorrow),1(slightly),2(expressive),0(non-offensive),1,text dominant,你,梨,text,complementary
Image_(1176).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,complementary,你,梨,text,complementary
Image_(1177).jpg,3(anger),1(slightly),2(expressive),0(non-offensive),1,complementary,压力,压梨,text,complementary
Image_(1178).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,平淡,苹蛋,text,complementary
Image_(1179).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,贫穷,苹穷,text,complementary
Image_(118).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1180).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),1,complementary,屏蔽,苹蔽,text,complementary
Image_(1181).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,complementary,焦虑,蕉虑,text,complementary
Image_(1182).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,text dominant,交朋友,蕉朋友,text,complementary
Image_(1183).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,text dominant,点赞之交,点赞之蕉,text,complementary
Image_(1184).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),1,text dominant,凭,苹,text,complementary
Image_(1185).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,您,柠,text,complementary
Image_(1186).jpg,7(surprise),2(moderately),1(interactive),0(non-offensive),1,text dominant,教,蕉,text,complementary
Image_(1187).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),1,text dominant,例子,栗子,text,complementary
Image_(1188).jpg,7(surprise),2(moderately),1(interactive),0(non-offensive),1,text dominant,茫,芒,text,complementary
Image_(1189).jpg,4(sorrow),1(slightly),1(interactive),0(non-offensive),1,text dominant,沉,橙,text,complementary
Image_(119).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,垃圾,辣鸡,text,text
Image_(1190).jpg,4(sorrow),2(moderately),1(interactive),0(non-offensive),1,text dominant,没,莓,text,complementary
Image_(1191).jpg,6(hate),1(slightly),2(expressive),0(non-offensive),1,text dominant,讨,萄,text,complementary
Image_(1192).jpg,2(love),2(moderately),1(interactive),0(non-offensive),1,text dominant,耶,椰,text,complementary
Image_(1193).jpg,3(anger),2(moderately),1(interactive),0(non-offensive),1,text dominant,交,蕉,text,complementary
Image_(1194).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,嘤,樱,text,complementary
Image_(1195).jpg,7(surprise),1(slightly),1(interactive),0(non-offensive),1,text dominant,凭,苹,text,complementary
Image_(1196).jpg,3(anger),1(slightly),4(offensive),1(slightly),1,complementary,屁,啤酒,text,complementary
Image_(1197).jpg,2(love),1(slightly),3(entertaining),1(slightly),1,text dominant,属实,鼠食,text,complementary
Image_(1198).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,肯定,啃腚,text,complementary
Image_(1199).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,text dominant,滑稽,滑鸡,text,complementary
Image_(12).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,complementary,没得,莫得,complementary,complementary
Image_(120).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,你；呀,尼；鸭,text,text
Image_(1200).jpg,2(love),1(slightly),3(entertaining),0(non-offensive),1,complementary,哇哦,哇藕,text,complementary
Image_(1201).jpg,3(anger),1(slightly),4(offensive),1(slightly),1,text dominant,一脚,1角,text,complementary
Image_(1202).jpg,3(anger),1(slightly),4(offensive),1(slightly),1,text dominant,多损,夺笋,text,complementary
Image_(1203).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),1,complementary,活在裆下,活在当下,complementary,text
Image_(1204).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,隐喻,艺谋,text,complementary
Image_(1205).jpg,1(happiness),1(slightly),3(entertaining),0(non-offensive),1,text dominant,机会,鸡会,text,complementary
Image_(1206).jpg,7(surprise),2(moderately),1(interactive),1(slightly),1,text dominant,他妈的,踏马的,text,complementary
Image_(1207).jpg,4(sorrow),1(slightly),3(entertaining),0(non-offensive),1,text dominant,钱,钳,text,complementary
Image_(1208).jpg,3(anger),1(slightly),3(entertaining),0(non-offensive),1,text dominant,胡扯,壶扯,text,complementary
Image_(1209).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),1,text dominant,凭,苹,text,complementary
Image_(121).jpg,2(love),1(slightly),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1210).jpg,6(hate),1(slightly),1(interactive),0(non-offensive),1,text dominant,婉拒,碗拒,text,complementary
Image_(1211).jpg,4(sorrow),2(moderately),2(expressive),0(non-offensive),1,text dominant,沦陷,轮陷,text,complementary
Image_(1212).jpg,6(hate),2(moderately),1(interactive),1(slightly),1,text dominant,呕,藕,text,complementary
Image_(1213).jpg,6(hate),1(slightly),4(offensive),2(moderately),1,text dominant,下贱,下键,text,complementary
Image_(1214).jpg,7(surprise),1(slightly),4(offensive),1(slightly),1,complementary,狗,你,complementary,complementary
Image_(1215).jpg,1(happiness),2(moderately),2(expressive),0(non-offensive),1,text dominant,美滋滋,美汁汁,text,complementary
Image_(1216).jpg,1(happiness),1(slightly),1(interactive),0(non-offensive),1,text dominant,搞笑,糕笑,text,complementary
Image_(1217).jpg,2(love),2(moderately),3(entertaining),0(non-offensive),1,text dominant,确实,雀食,text,complementary
Image_(1218).jpg,1(happiness),1(slightly),4(offensive),1(slightly),1,complementary,狗,你,complementary,complementary
Image_(1219).jpg,1(happiness),2(moderately),1(interactive),0(non-offensive),1,text dominant,交,蕉,text,complementary
Image_(122).jpg,1(happiness),3(very),2(expressive),0(non-offensive),1,text dominant,呀,鸭,text,complementary
Image_(1220).jpg,3(anger),2(moderately),2(expressive),0(non-offensive),1,text dominant,焦,蕉,text,complementary
